GO:0008150	BP
_	GO:0000003	reproduction
_	_	GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity
_	_	GO:0045157	electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity
_	_	GO:0045158	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity
_	_	GO:0046028	electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity
_	GO:0016015	morphogen activity
_	GO:0016209	antioxidant activity
_	_	GO:0004362	glutathione-disulfide reductase activity
_	_	GO:0004601	peroxidase activity
_	_	GO:0004784	superoxide dismutase activity
_	_	GO:0004785	superoxide dismutase activity
_	_	GO:0004791	thioredoxin-disulfide reductase activity
_	_	GO:0008382	superoxide dismutase activity
_	_	GO:0008383	superoxide dismutase activity
_	_	GO:0016685	peroxidase activity
_	_	GO:0016686	peroxidase activity
_	_	GO:0016687	peroxidase activity
_	_	GO:0016693	peroxidase activity
_	_	GO:0016954	superoxide dismutase activity
_	_	GO:0032542	sulfiredoxin activity
_	_	GO:0045174	glutathione dehydrogenase (ascorbate) activity
_	_	GO:0050605	superoxide reductase activity
_	_	GO:0051920	peroxiredoxin activity
_	GO:0016219	guanyl-nucleotide exchange factor activity
_	GO:0016247	channel regulator activity
_	_	GO:0005246	calcium channel regulator activity
_	_	GO:0015459	potassium channel regulator activity
_	_	GO:0016248	channel inhibitor activity
_	_	GO:0017080	sodium channel regulator activity
_	_	GO:0017081	chloride channel regulator activity
_	GO:0016530	metallochaperone activity
_	_	GO:0016531	copper chaperone activity
_	_	GO:0034986	iron chaperone activity
_	GO:0019839	guanyl-nucleotide exchange factor activity
_	GO:0030234	enzyme regulator activity
_	_	GO:0004857	enzyme inhibitor activity
_	_	GO:0008047	enzyme activator activity
_	_	GO:0010576	metalloenzyme regulator activity
_	_	GO:0010851	cyclase regulator activity
_	_	GO:0019207	kinase regulator activity
_	_	GO:0019208	phosphatase regulator activity
_	_	GO:0030235	nitric-oxide synthase regulator activity
_	_	GO:0030337	DNA polymerase processivity factor activity
_	_	GO:0035033	histone deacetylase regulator activity
_	_	GO:0035034	histone acetyltransferase regulator activity
_	_	GO:0042349	guiding stereospecific synthesis activity
_	_	GO:0042979	ornithine decarboxylase regulator activity
_	_	GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process
_	_	GO:0043763	UTP:glucose-1-phosphate uridylyltransferase regulator activity
_	_	GO:0048270	methionine adenosyltransferase regulator activity
_	_	GO:0055103	ligase regulator activity
_	_	GO:0060308	GTP cyclohydrolase I regulator activity
_	_	GO:0060589	nucleoside-triphosphatase regulator activity
_	_	GO:0061134	peptidase regulator activity
_	_	GO:0070917	inositol phosphoceramide synthase regulator activity
_	_	GO:1990609	glutamate-cysteine ligase regulator activity
_	_	GO:1990610	acetolactate synthase regulator activity
_	_	GO:1990624	guanyl nucleotide exchange factor inhibitor activity
_	GO:0030545	receptor regulator activity
_	_	GO:0030546	receptor activator activity
_	_	GO:0030547	receptor inhibitor activity
_	_	GO:0030548	acetylcholine receptor regulator activity
_	GO:0031386	protein tag
_	_	GO:0005551	obsolete ubiquitin
_	_	GO:0008638	protein tagging activity
_	GO:0036370	D-alanyl carrier activity
_	GO:0042056	chemoattractant activity
_	_	GO:1902379	chemoattractant activity involved in axon guidance
_	GO:0045182	translation regulator activity
_	_	GO:0030371	translation repressor activity
_	_	GO:0045183	translation factor activity, non-nucleic acid binding
_	_	GO:0090079	translation regulator activity, nucleic acid binding
_	GO:0045499	chemorepellent activity
_	GO:0045735	nutrient reservoir activity
_	_	GO:0008197	yolk protein
_	GO:0060089	molecular transducer activity
_	_	GO:0004871	signal transducer activity
_	_	GO:0004872	receptor activity
_	_	GO:0005062	signal transducer activity
_	_	GO:0009369	signal transducer activity
_	_	GO:0009370	signal transducer activity
_	_	GO:0019041	receptor activity
_	_	GO:0031992	energy transducer activity
_	GO:0098772	molecular function regulator
_	_	GO:0005085	guanyl-nucleotide exchange factor activity
_	_	GO:0008433	guanyl-nucleotide exchange factor activity
_	_	GO:0016219	guanyl-nucleotide exchange factor activity
_	_	GO:0016247	channel regulator activity
_	_	GO:0019839	guanyl-nucleotide exchange factor activity
_	_	GO:0030234	enzyme regulator activity
_	_	GO:0030545	receptor regulator activity
GO:0005575	CC
_	GO:0000267	cell fraction
_	GO:0005576	extracellular region
_	_	GO:0008530	exogenous peptide receptor activity
_	_	GO:0010367	extracellular isoamylase complex
_	_	GO:0019845	exotoxin activity
_	_	GO:0043230	extracellular organelle
_	_	GO:0044421	extracellular region part
_	_	GO:0048046	apoplast
_	_	GO:0098595	perivitelline space
_	_	GO:1903561	extracellular vesicle
_	GO:0005581	collagen trimer
_	_	GO:0005202	collagen
_	_	GO:0005582	collagen type XV trimer
_	_	GO:0005583	fibrillar collagen trimer
_	_	GO:0005587	collagen type IV trimer
_	_	GO:0005589	collagen type VI trimer
_	_	GO:0005593	FACIT collagen trimer
_	_	GO:0005598	short-chain collagen trimer
_	_	GO:0005599	collagen type X trimer
_	_	GO:0005600	collagen type XIII trimer
_	_	GO:0030934	anchoring collagen complex
_	_	GO:0030936	transmembrane collagen trimer
_	_	GO:0030937	collagen type XVII trimer
_	_	GO:0030938	collagen type XVIII trimer
_	_	GO:0098642	network-forming collagen trimer
_	_	GO:0098651	basement membrane collagen trimer
_	_	GO:1990322	collagen type XXIII trimer
_	_	GO:1990324	collagen type XXVI trimer
_	_	GO:1990325	collagen type XXVII trimer
_	_	GO:1990326	collagen type XXVIII trimer
_	_	GO:1990327	collagen type XXV trimer
_	GO:0005623	cell
_	_	GO:0044464	cell part
_	_	GO:1990065	Dxr protein complex
_	_	GO:1990204	oxidoreductase complex
_	_	GO:1990455	PTEN phosphatase complex
_	_	GO:1990722	DAPK1-calmodulin complex
_	GO:0005625	soluble fraction
_	GO:0005626	insoluble fraction
_	GO:0009295	nucleoid
_	_	GO:0039642	virion nucleoid
_	_	GO:0042645	mitochondrial nucleoid
_	_	GO:0042646	plastid nucleoid
_	_	GO:0043590	bacterial nucleoid
_	_	GO:0044777	single-stranded DNA-binding protein complex
_	GO:0016020	membrane
_	_	GO:0002079	inner acrosomal membrane
_	_	GO:0002081	outer acrosomal membrane
_	_	GO:0003791	membrane associated actin binding
_	_	GO:0005624	membrane fraction
_	_	GO:0005628	prospore membrane
_	_	GO:0005886	plasma membrane
_	_	GO:0005904	plasma membrane
_	_	GO:0009925	basal plasma membrane
_	_	GO:0016323	basolateral plasma membrane
_	_	GO:0016324	apical plasma membrane
_	_	GO:0016327	apicolateral plasma membrane
_	_	GO:0019867	outer membrane
_	_	GO:0031090	organelle membrane
_	_	GO:0034045	pre-autophagosomal structure membrane
_	_	GO:0034357	photosynthetic membrane
_	_	GO:0036362	ascus membrane
_	_	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network
_	_	GO:0044425	membrane part
_	_	GO:0048475	coated membrane
_	_	GO:0055036	virion membrane
_	_	GO:0060342	photoreceptor inner segment membrane
_	_	GO:0098533	ATPase dependent transmembrane transport complex
_	_	GO:0098552	side of membrane
_	_	GO:0098589	membrane region
_	_	GO:0098590	plasma membrane region
_	_	GO:0098796	membrane protein complex
_	_	GO:0098805	whole membrane
_	_	GO:1903349	omegasome membrane
_	_	GO:1990195	macrolide transmembrane transporter complex
_	_	GO:1990196	MacAB-TolC complex
_	_	GO:1990578	perinuclear endoplasmic reticulum membrane
_	GO:0019012	virion
_	_	GO:0039642	virion nucleoid
_	_	GO:0044423	virion part
_	GO:0030054	cell junction
_	_	GO:0005911	cell-cell junction
_	_	GO:0030055	cell-substrate junction
_	_	GO:0061466	plasma membrane part of cell junction
_	_	GO:0070161	anchoring junction
_	GO:0031012	extracellular matrix
_	_	GO:0005578	proteinaceous extracellular matrix
_	_	GO:0044420	extracellular matrix component
_	_	GO:0097311	biofilm matrix
_	_	GO:1990341	thrombospondin complex
_	_	GO:1990377	organomineral extracellular matrix
_	GO:0031974	membrane-enclosed lumen
_	_	GO:0031970	organelle envelope lumen
_	_	GO:0043233	organelle lumen
_	GO:0032991	macromolecular complex
_	_	GO:0000785	chromatin
_	_	GO:0001114	protein-DNA-RNA complex
_	_	GO:0005717	chromatin
_	_	GO:0030529	ribonucleoprotein complex
_	_	GO:0032992	protein-carbohydrate complex
_	_	GO:0032993	protein-DNA complex
_	_	GO:0032994	protein-lipid complex
_	_	GO:0035003	subapical complex
_	_	GO:0043234	protein complex
_	_	GO:0046536	dosage compensation complex
_	_	GO:0070864	sperm individualization complex
_	_	GO:0070992	translation initiation complex
_	_	GO:0098774	curli
_	_	GO:1990684	protein-lipid-RNA complex
_	GO:0039679	viral occlusion body
_	GO:0043226	organelle
_	_	GO:0000313	organellar ribosome
_	_	GO:0005929	cilium
_	_	GO:0031982	vesicle
_	_	GO:0043227	membrane-bounded organelle
_	_	GO:0043228	non-membrane-bounded organelle
_	_	GO:0043229	intracellular organelle
_	_	GO:0043230	extracellular organelle
_	_	GO:0044422	organelle part
_	_	GO:0097597	ventral disc
_	GO:0044215	other organism
_	_	GO:0018995	host
_	_	GO:0044217	other organism part
_	GO:0044217	other organism part
_	_	GO:0033643	host cell part
_	_	GO:0043655	extracellular space of host
_	_	GO:0044216	other organism cell
_	_	GO:0044279	other organism membrane
_	_	GO:0085036	extrahaustorial matrix
_	_	GO:0085040	extra-invasive hyphal space
_	GO:0044420	extracellular matrix component
_	_	GO:0005582	collagen type XV trimer
_	_	GO:0005583	fibrillar collagen trimer
_	_	GO:0005587	collagen type IV trimer
_	_	GO:0005589	collagen type VI trimer
_	_	GO:0005604	basement membrane
_	_	GO:0005605	basal lamina
_	_	GO:0008002	lamina lucida
_	_	GO:0008003	lamina densa
_	_	GO:0008004	lamina reticularis
_	_	GO:0009519	middle lamella
_	_	GO:0030934	anchoring collagen complex
_	_	GO:0030935	sheet-forming collagen trimer
_	_	GO:0032579	apical lamina of hyaline layer
_	_	GO:0043083	synaptic cleft
_	_	GO:0043205	fibril
_	_	GO:0043256	laminin complex
_	_	GO:0043667	pollen wall
_	_	GO:0043668	exine
_	_	GO:0043669	ectexine
_	_	GO:0043670	foot layer
_	_	GO:0043671	endexine
_	_	GO:0043672	nexine
_	_	GO:0043673	sexine
_	_	GO:0043674	columella
_	_	GO:0043675	sculpture element
_	_	GO:0043676	tectum
_	_	GO:0043677	germination pore
_	_	GO:0043678	intine
_	_	GO:0060103	collagen and cuticulin-based cuticle extracellular matrix part
_	_	GO:0061618	sublamina densa
_	_	GO:0070505	pollen coat
_	_	GO:0070645	Ubisch body
_	_	GO:0071953	elastic fiber
_	_	GO:0072534	perineuronal net
_	_	GO:0097312	biofilm matrix component
_	_	GO:0098642	network-forming collagen trimer
_	_	GO:0098644	complex of collagen trimers
_	_	GO:0098651	basement membrane collagen trimer
_	_	GO:1990318	collagen type XIX trimer
_	_	GO:1990324	collagen type XXVI trimer
_	_	GO:1990325	collagen type XXVII trimer
_	_	GO:1990326	collagen type XXVIII trimer
_	_	GO:1990341	thrombospondin complex
_	GO:0044421	extracellular region part
_	_	GO:0005577	fibrinogen complex
_	_	GO:0005578	proteinaceous extracellular matrix
_	_	GO:0005582	collagen type XV trimer
_	_	GO:0005583	fibrillar collagen trimer
_	_	GO:0005587	collagen type IV trimer
_	_	GO:0005589	collagen type VI trimer
_	_	GO:0005601	classical-complement-pathway C3/C5 convertase complex
_	_	GO:0005602	complement component C1 complex
_	_	GO:0005604	basement membrane
_	_	GO:0005605	basal lamina
_	_	GO:0005615	extracellular space
_	_	GO:0005616	larval serum protein complex
_	_	GO:0008002	lamina lucida
_	_	GO:0008003	lamina densa
_	_	GO:0008004	lamina reticularis
_	_	GO:0010367	extracellular isoamylase complex
_	_	GO:0016942	insulin-like growth factor binding protein complex
_	_	GO:0020004	symbiont-containing vacuolar space
_	_	GO:0020005	symbiont-containing vacuole membrane
_	_	GO:0020006	symbiont-containing vacuolar membrane network
_	_	GO:0030934	anchoring collagen complex
_	_	GO:0030935	sheet-forming collagen trimer
_	_	GO:0031395	bursicon neuropeptide hormone complex
_	_	GO:0032311	angiogenin-PRI complex
_	_	GO:0032579	apical lamina of hyaline layer
_	_	GO:0034358	plasma lipoprotein particle
_	_	GO:0035182	female germline ring canal outer rim
_	_	GO:0035183	female germline ring canal inner rim
_	_	GO:0036117	hyaluranon cable
_	_	GO:0042571	immunoglobulin complex, circulating
_	_	GO:0043205	fibril
_	_	GO:0043230	extracellular organelle
_	_	GO:0043245	extraorganismal space
_	_	GO:0043256	laminin complex
_	_	GO:0043511	inhibin complex
_	_	GO:0043514	interleukin-12 complex
_	_	GO:0043655	extracellular space of host
_	_	GO:0045171	intercellular bridge
_	_	GO:0048180	activin complex
_	_	GO:0060103	collagen and cuticulin-based cuticle extracellular matrix part
_	_	GO:0061618	sublamina densa
_	_	GO:0061696	pituitary gonadotropin complex
_	_	GO:0070289	extracellular ferritin complex
_	_	GO:0070701	mucus layer
_	_	GO:0070743	interleukin-23 complex
_	_	GO:0070744	interleukin-27 complex
_	_	GO:0070745	interleukin-35 complex
_	_	GO:0072562	blood microparticle
_	_	GO:0085036	extrahaustorial matrix
_	_	GO:0085040	extra-invasive hyphal space
_	_	GO:0097058	CRLF-CLCF1 complex
_	_	GO:0097059	CNTFR-CLCF1 complex
_	_	GO:0097189	apoptotic body
_	_	GO:0097619	PTEX complex
_	_	GO:0098642	network-forming collagen trimer
_	_	GO:0098644	complex of collagen trimers
_	_	GO:0098651	basement membrane collagen trimer
_	_	GO:1990150	VEGF-A complex
_	_	GO:1990296	scaffoldin complex
_	_	GO:1990318	collagen type XIX trimer
_	_	GO:1990324	collagen type XXVI trimer
_	_	GO:1990325	collagen type XXVII trimer
_	_	GO:1990326	collagen type XXVIII trimer
_	_	GO:1990562	syndecan-syntenin-ALIX complex
_	_	GO:1990563	extracellular exosome complex
_	GO:0044422	organelle part
_	_	GO:0000313	organellar ribosome
_	_	GO:0020004	symbiont-containing vacuolar space
_	_	GO:0020005	symbiont-containing vacuole membrane
_	_	GO:0020006	symbiont-containing vacuolar membrane network
_	_	GO:0030094	plasma membrane-derived photosystem I
_	_	GO:0030096	plasma membrane-derived thylakoid photosystem II
_	_	GO:0031090	organelle membrane
_	_	GO:0031300	intrinsic component of organelle membrane
_	_	GO:0031301	integral component of organelle membrane
_	_	GO:0031676	plasma membrane-derived thylakoid membrane
_	_	GO:0032420	stereocilium
_	_	GO:0043233	organelle lumen
_	_	GO:0044232	organelle membrane contact site
_	_	GO:0044441	ciliary part
_	_	GO:0044442	ciliary part
_	_	GO:0044446	intracellular organelle part
_	_	GO:0044449	contractile fiber part
_	_	GO:0044461	bacterial-type flagellum part
_	_	GO:0044695	Dsc E3 ubiquitin ligase complex
_	_	GO:0048493	plasma membrane-derived thylakoid ribulose bisphosphate carboxylase complex
_	_	GO:0060091	kinocilium
_	_	GO:0060171	stereocilium membrane
_	_	GO:0097591	ventral disc lateral crest
_	_	GO:0097592	ventral disc overlap zone
_	_	GO:0097593	ventral disc microtubule array
_	_	GO:0097594	ventral disc dorsal microribbon
_	_	GO:0097595	ventral disc crossbridge
_	_	GO:0097596	ventral disc supernumerary microtubule array
_	_	GO:0097619	PTEX complex
_	_	GO:0098576	lumenal side of membrane
_	_	GO:1990070	TRAPPI protein complex
_	_	GO:1990121	H-NS complex
_	_	GO:1990177	IHF-DNA complex
_	_	GO:1990178	HU-DNA complex
_	_	GO:1990296	scaffoldin complex
_	_	GO:1990500	eif4e-cup complex
_	_	GO:1990562	syndecan-syntenin-ALIX complex
_	_	GO:1990563	extracellular exosome complex
_	GO:0044423	virion part
_	_	GO:0019013	viral nucleocapsid
_	_	GO:0019014	viral nucleocapsid
_	_	GO:0019015	viral genome
_	_	GO:0019028	viral capsid
_	_	GO:0019033	viral tegument
_	_	GO:0036338	viral membrane
_	_	GO:0039624	viral outer capsid
_	_	GO:0039625	viral inner capsid
_	_	GO:0039626	viral intermediate capsid
_	_	GO:0039642	virion nucleoid
_	_	GO:0043493	viral terminase complex
_	_	GO:0046727	capsomere
_	_	GO:0046728	viral capsid
_	_	GO:0046729	viral procapsid
_	_	GO:0046798	viral portal complex
_	_	GO:0046806	viral scaffold
_	_	GO:0055036	virion membrane
_	_	GO:0098009	virus terminase, large subunit
_	_	GO:0098015	virus tail
_	_	GO:0098019	virus tail, major subunit
_	_	GO:0098020	virus tail, minor subunit
_	_	GO:0098021	viral capsid, decoration
_	_	GO:0098023	virus tail, tip
_	_	GO:0098024	virus tail, fiber
_	_	GO:0098025	virus tail, baseplate
_	_	GO:0098026	virus tail, tube
_	_	GO:0098027	virus tail, sheath
_	_	GO:0098028	virus tail, shaft
_	_	GO:0098029	icosahedral viral capsid, spike
_	_	GO:0098030	icosahedral viral capsid, neck
_	_	GO:0098031	icosahedral viral capsid, collar
_	_	GO:0098032	icosahedral viral capsid, collar fiber
_	_	GO:0098033	icosahedral viral capsid, neck fiber
_	_	GO:0098061	viral capsid, internal space
_	GO:0044425	membrane part
_	_	GO:0000136	alpha-1,6-mannosyltransferase complex
_	_	GO:0000813	ESCRT I complex
_	_	GO:0000814	ESCRT II complex
_	_	GO:0000815	ESCRT III complex
_	_	GO:0000835	ER ubiquitin ligase complex
_	_	GO:0005640	nuclear outer membrane
_	_	GO:0005785	signal recognition particle receptor complex
_	_	GO:0005787	signal peptidase complex
_	_	GO:0005789	endoplasmic reticulum membrane
_	_	GO:0005942	phosphatidylinositol 3-kinase complex
_	_	GO:0008250	oligosaccharyltransferase complex
_	_	GO:0009319	cytochrome o ubiquinol oxidase complex
_	_	GO:0009503	thylakoid light-harvesting complex
_	_	GO:0009521	photosystem
_	_	GO:0009538	photosystem I reaction center
_	_	GO:0009539	photosystem II reaction center
_	_	GO:0009544	chloroplast ATP synthase complex
_	_	GO:0009654	photosystem II oxygen evolving complex
_	_	GO:0009655	PSII associated light-harvesting complex II, core complex
_	_	GO:0009656	PSII associated light-harvesting complex II, peripheral complex
_	_	GO:0009782	photosystem I antenna complex
_	_	GO:0009783	photosystem II antenna complex
_	_	GO:0009923	fatty acid elongase complex
_	_	GO:0010006	Toc complex
_	_	GO:0010278	chloroplast outer membrane translocon
_	_	GO:0010598	NAD(P)H dehydrogenase complex (plastoquinone)
_	_	GO:0016469	proton-transporting two-sector ATPase complex
_	_	GO:0016472	sodium ion-transporting two-sector ATPase complex
_	_	GO:0017090	meprin A complex
_	_	GO:0019898	extrinsic component of membrane
_	_	GO:0030025	NADH dehydrogenase complex
_	_	GO:0030085	PSII associated light-harvesting complex II, peripheral complex, LHCIIb subcomplex
_	_	GO:0030089	phycobilisome
_	_	GO:0030090	photosystem
_	_	GO:0030117	membrane coat
_	_	GO:0030119	AP-type membrane coat adaptor complex
_	_	GO:0030396	extrinsic component of membrane
_	_	GO:0030897	HOPS complex
_	_	GO:0030904	retromer complex
_	_	GO:0030905	retromer complex, outer shell
_	_	GO:0030906	retromer complex, inner shell
_	_	GO:0030964	NADH dehydrogenase complex
_	_	GO:0030966	NADH dehydrogenase complex
_	_	GO:0031080	nuclear pore outer ring
_	_	GO:0031201	SNARE complex
_	_	GO:0031205	endoplasmic reticulum Sec complex
_	_	GO:0031206	translocon complex
_	_	GO:0031207	Sec62/Sec63 complex
_	_	GO:0031211	endoplasmic reticulum palmitoyltransferase complex
_	_	GO:0031224	intrinsic component of membrane
_	_	GO:0031225	anchored component of membrane
_	_	GO:0031502	dolichyl-phosphate-mannose-protein mannosyltransferase complex
_	_	GO:0031675	NADH dehydrogenase complex
_	_	GO:0031677	NADH dehydrogenase complex
_	_	GO:0031678	NADH dehydrogenase complex
_	_	GO:0031897	Tic complex
_	_	GO:0032842	respiratory chain complex III
_	_	GO:0032936	SREBP-SCAP complex
_	_	GO:0032937	SREBP-SCAP-Insig complex
_	_	GO:0032969	endosomal scaffold complex
_	_	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
_	_	GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
_	_	GO:0033282	protein C inhibitor-acrosin complex
_	_	GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
_	_	GO:0034424	Vps55/Vps68 complex
_	_	GO:0034448	EGO complex
_	_	GO:0034449	EGO complex
_	_	GO:0034702	ion channel complex
_	_	GO:0035369	pre-B cell receptor complex
_	_	GO:0042765	GPI-anchor transamidase complex
_	_	GO:0042824	MHC class I peptide loading complex
_	_	GO:0042825	TAP complex
_	_	GO:0043541	UDP-N-acetylglucosamine transferase complex
_	_	GO:0043913	chromosome segregation-directing complex
_	_	GO:0044232	organelle membrane contact site
_	_	GO:0044453	nuclear membrane part
_	_	GO:0044455	mitochondrial membrane part
_	_	GO:0044459	plasma membrane part
_	_	GO:0044570	starch utilization system complex
_	_	GO:0044611	nuclear pore inner ring
_	_	GO:0044612	nuclear pore linkers
_	_	GO:0044613	nuclear pore central transport channel
_	_	GO:0044614	nuclear pore cytoplasmic filaments
_	_	GO:0044615	nuclear pore nuclear basket
_	_	GO:0044695	Dsc E3 ubiquitin ligase complex
_	_	GO:0045265	proton-transporting ATP synthase, stator stalk
_	_	GO:0045267	proton-transporting ATP synthase, catalytic core
_	_	GO:0045269	proton-transporting ATP synthase, central stalk
_	_	GO:0045273	respiratory chain complex II
_	_	GO:0045275	respiratory chain complex III
_	_	GO:0045277	respiratory chain complex IV
_	_	GO:0045280	NADH dehydrogenase complex
_	_	GO:0045281	succinate dehydrogenase complex
_	_	GO:0045283	fumarate reductase complex
_	_	GO:0045285	respiratory chain complex III
_	_	GO:0045287	respiratory chain complex IV
_	_	GO:0046696	lipopolysaccharide receptor complex
_	_	GO:0046930	pore complex
_	_	GO:0070057	prospore membrane spindle pole body attachment site
_	_	GO:0070469	respiratory chain
_	_	GO:0070762	nuclear pore transmembrane ring
_	_	GO:0070772	PAS complex
_	_	GO:0071256	translocon complex
_	_	GO:0071439	clathrin complex
_	_	GO:0071595	Nem1-Spo7 phosphatase complex
_	_	GO:0071986	Ragulator complex
_	_	GO:0072546	ER membrane protein complex
_	_	GO:0097478	leaflet of membrane bilayer
_	_	GO:0098533	ATPase dependent transmembrane transport complex
_	_	GO:0098552	side of membrane
_	_	GO:0098589	membrane region
_	_	GO:0098796	membrane protein complex
_	_	GO:1902495	transmembrane transporter complex
_	_	GO:1990063	Bam protein complex
_	_	GO:1990195	macrolide transmembrane transporter complex
_	_	GO:1990231	STING complex
_	_	GO:1990332	Ire1 complex
_	_	GO:1990604	IRE1-TRAF2-ASK1 complex
_	_	GO:1990621	Vps4-Vta1 complex
_	_	GO:1990629	phospholamban complex
_	GO:0044456	synapse part
_	_	GO:0008021	synaptic vesicle
_	_	GO:0014069	postsynaptic density
_	_	GO:0030129	clathrin coat of synaptic vesicle
_	_	GO:0030285	integral component of synaptic vesicle membrane
_	_	GO:0030672	synaptic vesicle membrane
_	_	GO:0034592	synaptic vesicle lumen
_	_	GO:0036062	presynaptic periactive zone
_	_	GO:0043083	synaptic cleft
_	_	GO:0043195	terminal bouton
_	_	GO:0048786	presynaptic active zone
_	_	GO:0048788	presynaptic cytoskeletal matrix assembled at active zones
_	_	GO:0071212	subsynaptic reticulum
_	_	GO:0097060	synaptic membrane
_	_	GO:0097445	presynaptic active zone dense projection
_	_	GO:0098563	intrinsic component of synaptic vesicle membrane
_	_	GO:0098793	presynapse
_	_	GO:0098794	postsynapse
_	_	GO:1990013	presynaptic grid
_	_	GO:1990474	synaptic vesicle, readily releasable pool
_	_	GO:1990475	synaptic vesicle, recycling pool
_	_	GO:1990476	synaptic vesicle, resting pool
_	GO:0044464	cell part
_	_	GO:0000134	site of polarized growth
_	_	GO:0002139	stereocilia coupling link
_	_	GO:0002142	stereocilia ankle link complex
_	_	GO:0005620	periplasmic space
_	_	GO:0005622	intracellular
_	_	GO:0005628	prospore membrane
_	_	GO:0005642	annulate lamellae
_	_	GO:0005886	plasma membrane
_	_	GO:0005904	plasma membrane
_	_	GO:0005905	coated pit
_	_	GO:0005933	cellular bud
_	_	GO:0005966	cyclic-nucleotide phosphodiesterase complex
_	_	GO:0008287	protein serine/threonine phosphatase complex
_	_	GO:0009344	nitrite reductase complex [NAD(P)H]
_	_	GO:0009347	aspartate carbamoyltransferase complex
_	_	GO:0009349	riboflavin synthase complex
_	_	GO:0009358	polyphosphate kinase complex
_	_	GO:0009928	cell surface
_	_	GO:0009929	cell surface
_	_	GO:0009930	longitudinal side of cell surface
_	_	GO:0009986	cell surface
_	_	GO:0012505	endomembrane system
_	_	GO:0014069	postsynaptic density
_	_	GO:0015627	type II protein secretion system complex
_	_	GO:0019008	molybdopterin synthase complex
_	_	GO:0019009	molybdopterin synthase complex
_	_	GO:0020007	apical complex
_	_	GO:0020008	rhoptry
_	_	GO:0020031	polar ring of apical complex
_	_	GO:0020032	basal ring of apical complex
_	_	GO:0020039	pellicle
_	_	GO:0030256	type I protein secretion system complex
_	_	GO:0030257	type III protein secretion system complex
_	_	GO:0030312	external encapsulating structure
_	_	GO:0030427	site of polarized growth
_	_	GO:0030428	cell septum
_	_	GO:0030483	site of polarized growth
_	_	GO:0030496	midbody
_	_	GO:0030904	retromer complex
_	_	GO:0030905	retromer complex, outer shell
_	_	GO:0030906	retromer complex, inner shell
_	_	GO:0031252	cell leading edge
_	_	GO:0031254	cell trailing edge
_	_	GO:0031317	tripartite ATP-independent periplasmic transporter complex
_	_	GO:0031521	spitzenkorper
_	_	GO:0031522	cell envelope Sec protein transport complex
_	_	GO:0031975	envelope
_	_	GO:0032126	eisosome
_	_	GO:0032153	cell division site
_	_	GO:0032155	cell division site part
_	_	GO:0032179	germ tube
_	_	GO:0032766	NHE3/E3KARP/ACTN4 complex
_	_	GO:0033016	rhoptry membrane
_	_	GO:0033104	type VI protein secretion system complex
_	_	GO:0033774	basal labyrinth
_	_	GO:0034591	rhoptry lumen
_	_	GO:0035748	myelin sheath abaxonal region
_	_	GO:0035749	myelin sheath adaxonal region
_	_	GO:0036375	Kibra-Ex-Mer complex
_	_	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network
_	_	GO:0042597	periplasmic space
_	_	GO:0042763	intracellular immature spore
_	_	GO:0042995	cell projection
_	_	GO:0043209	myelin sheath
_	_	GO:0043218	compact myelin
_	_	GO:0043219	lateral loop
_	_	GO:0043220	Schmidt-Lanterman incisure
_	_	GO:0043684	type IV secretion system complex
_	_	GO:0044099	polar tube
_	_	GO:0044287	Schmidt-Lanterman incisure
_	_	GO:0044297	cell body
_	_	GO:0044424	intracellular part
_	_	GO:0044457	cell septum part
_	_	GO:0044459	plasma membrane part
_	_	GO:0044462	external encapsulating structure part
_	_	GO:0044463	cell projection part
_	_	GO:0044697	HICS complex
_	_	GO:0045177	apical part of cell
_	_	GO:0045178	basal part of cell
_	_	GO:0055040	periplasmic flagellum
_	_	GO:0060187	cell pole
_	_	GO:0070056	prospore membrane leading edge
_	_	GO:0070057	prospore membrane spindle pole body attachment site
_	_	GO:0070258	inner membrane complex
_	_	GO:0070331	CD20-Lck-Fyn complex
_	_	GO:0070332	CD20-Lck-Lyn-Fyn complex
_	_	GO:0070864	sperm individualization complex
_	_	GO:0070938	contractile ring
_	_	GO:0071944	cell periphery
_	_	GO:0072324	ascus epiplasm
_	_	GO:0090543	Flemming body
_	_	GO:0090635	extracellular core region of desmosome
_	_	GO:0090636	outer dense plaque of desmosome
_	_	GO:0090637	inner dense plaque of desmosome
_	_	GO:0097223	sperm part
_	_	GO:0097268	cytoophidium
_	_	GO:0097458	neuron part
_	_	GO:0097569	lateral shield
_	_	GO:0097574	lateral part of cell
_	_	GO:0097610	cell surface furrow
_	_	GO:0097613	dinoflagellate epicone
_	_	GO:0097614	dinoflagellate hypocone
_	_	GO:0097653	unencapsulated part of cell
_	_	GO:0097683	dinoflagellate apex
