id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_fdr	namespace	genes_in_study
GO:0003779	e	actin binding	12/1193	59/12296	0.0124	1	molecular_function	PLEOSDRAFT_1092225;PLEOSDRAFT_1061014;PLEOSDRAFT_1110657;PLEOSDRAFT_1056973;PLEOSDRAFT_1090605;PLEOSDRAFT_1059008;PLEOSDRAFT_1093789;PLEOSDRAFT_1073892;PLEOSDRAFT_1095043;PLEOSDRAFT_1098183;PLEOSDRAFT_1066597;PLEOSDRAFT_1058112
GO:0075259	e	spore-bearing structure development	9/1193	40/12296	0.0127	1	biological_process	PLEOSDRAFT_1075411;PLEOSDRAFT_1111332;PLEOSDRAFT_1072467;PLEOSDRAFT_1088284;PLEOSDRAFT_1111769;PLEOSDRAFT_1113999;PLEOSDRAFT_1066212;PLEOSDRAFT_1061348;PLEOSDRAFT_1089236
GO:0044459	e	plasma membrane part	45/1193	323/12296	0.0129	1	cellular_component	PLEOSDRAFT_1090394;PLEOSDRAFT_1095022;PLEOSDRAFT_1088718;PLEOSDRAFT_1091461;PLEOSDRAFT_1091468;PLEOSDRAFT_1062548;PLEOSDRAFT_1058633;PLEOSDRAFT_1050010;PLEOSDRAFT_24815;PLEOSDRAFT_1075179;PLEOSDRAFT_1088317;PLEOSDRAFT_1104356;PLEOSDRAFT_1111031;PLEOSDRAFT_1068763;PLEOSDRAFT_60667;PLEOSDRAFT_42791;PLEOSDRAFT_1049732;PLEOSDRAFT_1054035;PLEOSDRAFT_1037970;PLEOSDRAFT_1090605;PLEOSDRAFT_1061475;PLEOSDRAFT_1063312;PLEOSDRAFT_165967;PLEOSDRAFT_36976;PLEOSDRAFT_46467;PLEOSDRAFT_41780;PLEOSDRAFT_1098438;PLEOSDRAFT_1110796;PLEOSDRAFT_1065490;PLEOSDRAFT_1068451;PLEOSDRAFT_1091387;PLEOSDRAFT_1060369;PLEOSDRAFT_1110514;PLEOSDRAFT_1093122;PLEOSDRAFT_1110948;PLEOSDRAFT_1062678;PLEOSDRAFT_1098183;PLEOSDRAFT_1071189;PLEOSDRAFT_1111306;PLEOSDRAFT_1056629;PLEOSDRAFT_1088946;PLEOSDRAFT_51723;PLEOSDRAFT_1089580;PLEOSDRAFT_62392;PLEOSDRAFT_35454
GO:0010557	e	positive regulation of macromolecule biosynthetic process	61/1193	463/12296	0.0129	1	biological_process	PLEOSDRAFT_1056853;PLEOSDRAFT_1065266;PLEOSDRAFT_1089478;PLEOSDRAFT_37936;PLEOSDRAFT_1075361;PLEOSDRAFT_1072569;PLEOSDRAFT_1043194;PLEOSDRAFT_1106007;PLEOSDRAFT_1088849;PLEOSDRAFT_1089829;PLEOSDRAFT_173665;PLEOSDRAFT_1052040;PLEOSDRAFT_1039251;PLEOSDRAFT_1054987;PLEOSDRAFT_173829;PLEOSDRAFT_1083727;PLEOSDRAFT_1111581;PLEOSDRAFT_1113424;PLEOSDRAFT_1035257;PLEOSDRAFT_1094340;PLEOSDRAFT_1101880;PLEOSDRAFT_1054035;PLEOSDRAFT_1087686;PLEOSDRAFT_1067159;PLEOSDRAFT_1088686;PLEOSDRAFT_1092784;PLEOSDRAFT_1108007;PLEOSDRAFT_1033649;PLEOSDRAFT_1088350;PLEOSDRAFT_1092515;PLEOSDRAFT_1063924;PLEOSDRAFT_33270;PLEOSDRAFT_42627;PLEOSDRAFT_1078467;PLEOSDRAFT_41141;PLEOSDRAFT_1101247;PLEOSDRAFT_1097623;PLEOSDRAFT_1083719;PLEOSDRAFT_1112875;PLEOSDRAFT_1055720;PLEOSDRAFT_1016848;PLEOSDRAFT_1109702;PLEOSDRAFT_1068339;PLEOSDRAFT_1088739;PLEOSDRAFT_1039449;PLEOSDRAFT_1093423;PLEOSDRAFT_1054562;PLEOSDRAFT_1110282;PLEOSDRAFT_1048718;PLEOSDRAFT_1113463;PLEOSDRAFT_1068280;PLEOSDRAFT_1092884;PLEOSDRAFT_173235;PLEOSDRAFT_1110336;PLEOSDRAFT_1091903;PLEOSDRAFT_23768;PLEOSDRAFT_1053052;PLEOSDRAFT_1052290;PLEOSDRAFT_1061513;PLEOSDRAFT_1063022;PLEOSDRAFT_1091621
GO:0042626	e	"ATPase activity, coupled to transmembrane movement of substances"	21/1193	124/12296	0.0134	1	molecular_function	PLEOSDRAFT_1091979;PLEOSDRAFT_1058633;PLEOSDRAFT_1046423;PLEOSDRAFT_24815;PLEOSDRAFT_1061059;PLEOSDRAFT_1111031;PLEOSDRAFT_1090211;PLEOSDRAFT_1037970;PLEOSDRAFT_1090158;PLEOSDRAFT_1061285;PLEOSDRAFT_1091920;PLEOSDRAFT_1065490;PLEOSDRAFT_1092650;PLEOSDRAFT_1087304;PLEOSDRAFT_1095758;PLEOSDRAFT_1065757;PLEOSDRAFT_1110948;PLEOSDRAFT_1094816;PLEOSDRAFT_1042508;PLEOSDRAFT_1089580;PLEOSDRAFT_35454
GO:0044439	e	peroxisomal part	12/1193	60/12296	0.0136	1	cellular_component	PLEOSDRAFT_1089359;PLEOSDRAFT_1053846;PLEOSDRAFT_1067024;PLEOSDRAFT_1072774;PLEOSDRAFT_1088775;PLEOSDRAFT_1087304;PLEOSDRAFT_1107810;PLEOSDRAFT_1088347;PLEOSDRAFT_1054697;PLEOSDRAFT_1110547;PLEOSDRAFT_1089338;PLEOSDRAFT_1090819
GO:0044438	e	microbody part	12/1193	60/12296	0.0136	1	cellular_component	PLEOSDRAFT_1089359;PLEOSDRAFT_1053846;PLEOSDRAFT_1067024;PLEOSDRAFT_1072774;PLEOSDRAFT_1088775;PLEOSDRAFT_1087304;PLEOSDRAFT_1107810;PLEOSDRAFT_1088347;PLEOSDRAFT_1054697;PLEOSDRAFT_1110547;PLEOSDRAFT_1089338;PLEOSDRAFT_1090819
GO:0072594	e	establishment of protein localization to organelle	52/1193	383/12296	0.0137	1	biological_process	PLEOSDRAFT_1098108;PLEOSDRAFT_1087983;PLEOSDRAFT_1039394;PLEOSDRAFT_1062649;PLEOSDRAFT_60781;PLEOSDRAFT_1091873;PLEOSDRAFT_1061150;PLEOSDRAFT_1061152;PLEOSDRAFT_1075925;PLEOSDRAFT_38169;PLEOSDRAFT_173562;PLEOSDRAFT_1087719;PLEOSDRAFT_50674;PLEOSDRAFT_1047273;PLEOSDRAFT_1037797;PLEOSDRAFT_1052040;PLEOSDRAFT_14943;PLEOSDRAFT_1053360;PLEOSDRAFT_33932;PLEOSDRAFT_1112708;PLEOSDRAFT_1033993;PLEOSDRAFT_1063828;PLEOSDRAFT_1099644;PLEOSDRAFT_1068054;PLEOSDRAFT_1052734;PLEOSDRAFT_176123;PLEOSDRAFT_1095897;PLEOSDRAFT_174205;PLEOSDRAFT_1049677;PLEOSDRAFT_1036627;PLEOSDRAFT_1072774;PLEOSDRAFT_1089076;PLEOSDRAFT_1112875;PLEOSDRAFT_1052034;PLEOSDRAFT_1107810;PLEOSDRAFT_1088230;PLEOSDRAFT_1090848;PLEOSDRAFT_1088347;PLEOSDRAFT_1090707;PLEOSDRAFT_1073596;PLEOSDRAFT_1101314;PLEOSDRAFT_1089208;PLEOSDRAFT_1052087;PLEOSDRAFT_1110788;PLEOSDRAFT_1066516;PLEOSDRAFT_175713;PLEOSDRAFT_1046000;PLEOSDRAFT_166613;PLEOSDRAFT_23768;PLEOSDRAFT_1072578;PLEOSDRAFT_1064105;PLEOSDRAFT_1064650
GO:0098772	e	molecular function regulator	52/1193	385/12296	0.014	1	molecular_function	PLEOSDRAFT_1056853;PLEOSDRAFT_1098108;PLEOSDRAFT_1061152;PLEOSDRAFT_37936;PLEOSDRAFT_52253;PLEOSDRAFT_1027457;PLEOSDRAFT_1089399;PLEOSDRAFT_1112748;PLEOSDRAFT_1065102;PLEOSDRAFT_1055097;PLEOSDRAFT_174270;PLEOSDRAFT_1065443;PLEOSDRAFT_1088582;PLEOSDRAFT_173829;PLEOSDRAFT_39703;PLEOSDRAFT_1063222;PLEOSDRAFT_1089493;PLEOSDRAFT_28294;PLEOSDRAFT_1089864;PLEOSDRAFT_1099644;PLEOSDRAFT_1068054;PLEOSDRAFT_1037970;PLEOSDRAFT_1112279;PLEOSDRAFT_1061475;PLEOSDRAFT_1031760;PLEOSDRAFT_1095897;PLEOSDRAFT_1075736;PLEOSDRAFT_1049677;PLEOSDRAFT_1087775;PLEOSDRAFT_1077992;PLEOSDRAFT_1054928;PLEOSDRAFT_1067950;PLEOSDRAFT_1062078;PLEOSDRAFT_1059525;PLEOSDRAFT_1054110;PLEOSDRAFT_1090848;PLEOSDRAFT_1067002;PLEOSDRAFT_1052129;PLEOSDRAFT_1060916;PLEOSDRAFT_1063993;PLEOSDRAFT_1065257;PLEOSDRAFT_1098183;PLEOSDRAFT_1076051;PLEOSDRAFT_1052087;PLEOSDRAFT_1058940;PLEOSDRAFT_1093096;PLEOSDRAFT_1094205;PLEOSDRAFT_1089123;PLEOSDRAFT_1051916;PLEOSDRAFT_1061513;PLEOSDRAFT_1094051;PLEOSDRAFT_1112255
GO:0032103	e	positive regulation of response to external stimulus	11/1193	51/12296	0.014	1	biological_process	PLEOSDRAFT_1062548;PLEOSDRAFT_1050244;PLEOSDRAFT_160280;PLEOSDRAFT_1087686;PLEOSDRAFT_1079019;PLEOSDRAFT_1089553;PLEOSDRAFT_33270;PLEOSDRAFT_1068698;PLEOSDRAFT_1052129;PLEOSDRAFT_1062678;PLEOSDRAFT_34426
GO:0090174	e	organelle membrane fusion	14/1193	72/12296	0.0141	1	biological_process	PLEOSDRAFT_1087989;PLEOSDRAFT_1037150;PLEOSDRAFT_1092786;PLEOSDRAFT_1038306;PLEOSDRAFT_1112402;PLEOSDRAFT_1062660;PLEOSDRAFT_1090764;PLEOSDRAFT_1090836;PLEOSDRAFT_1078518;PLEOSDRAFT_1090707;PLEOSDRAFT_1094019;PLEOSDRAFT_1079389;PLEOSDRAFT_1064814;PLEOSDRAFT_1061513
GO:1901701	e	cellular response to oxygen-containing compound	27/1193	175/12296	0.0141	1	biological_process	PLEOSDRAFT_1056853;PLEOSDRAFT_1090402;PLEOSDRAFT_1068853;PLEOSDRAFT_1088718;PLEOSDRAFT_174437;PLEOSDRAFT_1068729;PLEOSDRAFT_1091892;PLEOSDRAFT_1090849;PLEOSDRAFT_1087719;PLEOSDRAFT_1050244;PLEOSDRAFT_160280;PLEOSDRAFT_1063222;PLEOSDRAFT_1037970;PLEOSDRAFT_1089553;PLEOSDRAFT_1063312;PLEOSDRAFT_1097739;PLEOSDRAFT_1110411;PLEOSDRAFT_21661;PLEOSDRAFT_1088347;PLEOSDRAFT_1063808;PLEOSDRAFT_1088541;PLEOSDRAFT_166613;PLEOSDRAFT_1090305;PLEOSDRAFT_1049340;PLEOSDRAFT_174897;PLEOSDRAFT_1094051;PLEOSDRAFT_1090819
GO:0019627	e	urea metabolic process	8/1193	34/12296	0.0141	1	biological_process	PLEOSDRAFT_1099171;PLEOSDRAFT_61627;PLEOSDRAFT_1087775;PLEOSDRAFT_37915;PLEOSDRAFT_176320;PLEOSDRAFT_1042750;PLEOSDRAFT_1098437;PLEOSDRAFT_1113575
GO:0008509	e	anion transmembrane transporter activity	25/1193	159/12296	0.0145	1	molecular_function	PLEOSDRAFT_1095022;PLEOSDRAFT_1094158;PLEOSDRAFT_1105457;PLEOSDRAFT_1108207;PLEOSDRAFT_1091461;PLEOSDRAFT_1075179;PLEOSDRAFT_1090865;PLEOSDRAFT_1066159;PLEOSDRAFT_1057045;PLEOSDRAFT_49660;PLEOSDRAFT_1104356;PLEOSDRAFT_1089460;PLEOSDRAFT_1050380;PLEOSDRAFT_1056786;PLEOSDRAFT_1102145;PLEOSDRAFT_46467;PLEOSDRAFT_1088673;PLEOSDRAFT_1068451;PLEOSDRAFT_174947;PLEOSDRAFT_1110514;PLEOSDRAFT_1062827;PLEOSDRAFT_1113946;PLEOSDRAFT_1056056;PLEOSDRAFT_1077263;PLEOSDRAFT_164904
GO:0046033	e	AMP metabolic process	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1073446;PLEOSDRAFT_1103290;PLEOSDRAFT_1088759
GO:0075296	e	positive regulation of ascospore formation	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1053841;PLEOSDRAFT_28294;PLEOSDRAFT_1088007
GO:0071455	e	cellular response to hyperoxia	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1096689;PLEOSDRAFT_1054035;PLEOSDRAFT_1053052
GO:0097550	e	transcriptional preinitiation complex	3/1193	6/12296	0.0146	1	cellular_component	PLEOSDRAFT_1094918;PLEOSDRAFT_1039449;PLEOSDRAFT_1047371
GO:0060293	e	germ plasm	3/1193	6/12296	0.0146	1	cellular_component	PLEOSDRAFT_1035026;PLEOSDRAFT_1035220;PLEOSDRAFT_1034336
GO:0045495	e	pole plasm	3/1193	6/12296	0.0146	1	cellular_component	PLEOSDRAFT_1035026;PLEOSDRAFT_1035220;PLEOSDRAFT_1034336
GO:0030260	e	entry into host cell	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1087719;PLEOSDRAFT_1110177;PLEOSDRAFT_166613
GO:0008177	e	succinate dehydrogenase (ubiquinone) activity	3/1193	6/12296	0.0146	1	molecular_function	PLEOSDRAFT_1068494;PLEOSDRAFT_1091387;PLEOSDRAFT_1088230
GO:0070813	e	hydrogen sulfide metabolic process	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_51396;PLEOSDRAFT_1043428;PLEOSDRAFT_1093765
GO:0070814	e	hydrogen sulfide biosynthetic process	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_51396;PLEOSDRAFT_1043428;PLEOSDRAFT_1093765
GO:0055093	e	response to hyperoxia	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1096689;PLEOSDRAFT_1054035;PLEOSDRAFT_1053052
GO:0051806	e	entry into cell of other organism involved in symbiotic interaction	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1087719;PLEOSDRAFT_1110177;PLEOSDRAFT_166613
GO:0015684	e	ferrous iron transport	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1068763;PLEOSDRAFT_1060454;PLEOSDRAFT_62392
GO:0036295	e	cellular response to increased oxygen levels	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1096689;PLEOSDRAFT_1054035;PLEOSDRAFT_1053052
GO:0004849	e	uridine kinase activity	3/1193	6/12296	0.0146	1	molecular_function	PLEOSDRAFT_1111211;PLEOSDRAFT_1089042;PLEOSDRAFT_1111981
GO:0035617	e	stress granule disassembly	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1087719;PLEOSDRAFT_1088541;PLEOSDRAFT_166613
GO:0043186	e	P granule	3/1193	6/12296	0.0146	1	cellular_component	PLEOSDRAFT_1035026;PLEOSDRAFT_1035220;PLEOSDRAFT_1034336
GO:0051731	e	polynucleotide 5'-hydroxyl-kinase activity	3/1193	6/12296	0.0146	1	molecular_function	PLEOSDRAFT_41141;PLEOSDRAFT_1089545;PLEOSDRAFT_1046687
GO:0050848	e	regulation of calcium-mediated signaling	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1060462;PLEOSDRAFT_1089553;PLEOSDRAFT_1065076
GO:0036296	e	response to increased oxygen levels	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1096689;PLEOSDRAFT_1054035;PLEOSDRAFT_1053052
GO:1903874	e	ferrous iron transmembrane transport	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1068763;PLEOSDRAFT_1060454;PLEOSDRAFT_62392
GO:0060541	e	respiratory system development	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_24815;PLEOSDRAFT_1037970;PLEOSDRAFT_1062678
GO:0000104	e	succinate dehydrogenase activity	3/1193	6/12296	0.0146	1	molecular_function	PLEOSDRAFT_1068494;PLEOSDRAFT_1091387;PLEOSDRAFT_1088230
GO:0007416	e	synapse assembly	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_24815;PLEOSDRAFT_1060369;PLEOSDRAFT_1040351
GO:0006167	e	AMP biosynthetic process	3/1193	6/12296	0.0146	1	biological_process	PLEOSDRAFT_1073446;PLEOSDRAFT_1103290;PLEOSDRAFT_1088759
GO:0006626	e	protein targeting to mitochondrion	14/1193	73/12296	0.0147	1	biological_process	PLEOSDRAFT_1087719;PLEOSDRAFT_1052040;PLEOSDRAFT_14943;PLEOSDRAFT_1053360;PLEOSDRAFT_1112708;PLEOSDRAFT_1063828;PLEOSDRAFT_1099644;PLEOSDRAFT_1088230;PLEOSDRAFT_1073596;PLEOSDRAFT_1066516;PLEOSDRAFT_175713;PLEOSDRAFT_1046000;PLEOSDRAFT_166613;PLEOSDRAFT_1072578
GO:0032200	e	telomere organization	17/1193	97/12296	0.0147	1	biological_process	PLEOSDRAFT_1045884;PLEOSDRAFT_1057364;PLEOSDRAFT_1080378;PLEOSDRAFT_1052040;PLEOSDRAFT_1039251;PLEOSDRAFT_1090168;PLEOSDRAFT_1040372;PLEOSDRAFT_1048582;PLEOSDRAFT_42627;PLEOSDRAFT_1109702;PLEOSDRAFT_1045039;PLEOSDRAFT_48236;PLEOSDRAFT_1101314;PLEOSDRAFT_1045135;PLEOSDRAFT_23768;PLEOSDRAFT_1096093;PLEOSDRAFT_1053052
GO:0000723	e	telomere maintenance	17/1193	97/12296	0.0147	1	biological_process	PLEOSDRAFT_1045884;PLEOSDRAFT_1057364;PLEOSDRAFT_1080378;PLEOSDRAFT_1052040;PLEOSDRAFT_1039251;PLEOSDRAFT_1090168;PLEOSDRAFT_1040372;PLEOSDRAFT_1048582;PLEOSDRAFT_42627;PLEOSDRAFT_1109702;PLEOSDRAFT_1045039;PLEOSDRAFT_48236;PLEOSDRAFT_1101314;PLEOSDRAFT_1045135;PLEOSDRAFT_23768;PLEOSDRAFT_1096093;PLEOSDRAFT_1053052
GO:0007568	e	aging	21/1193	127/12296	0.0147	1	biological_process	PLEOSDRAFT_24815;PLEOSDRAFT_174270;PLEOSDRAFT_160280;PLEOSDRAFT_1063222;PLEOSDRAFT_1110825;PLEOSDRAFT_1094340;PLEOSDRAFT_1079019;PLEOSDRAFT_46913;PLEOSDRAFT_51517;PLEOSDRAFT_1090291;PLEOSDRAFT_1091136;PLEOSDRAFT_1088347;PLEOSDRAFT_1088517;PLEOSDRAFT_1092199;PLEOSDRAFT_1088541;PLEOSDRAFT_1114037;PLEOSDRAFT_23768;PLEOSDRAFT_1049340;PLEOSDRAFT_1032546;PLEOSDRAFT_1088858;PLEOSDRAFT_1090652
GO:0061919	e	process utilizing autophagic mechanism	35/1193	240/12296	0.0148	1	biological_process	PLEOSDRAFT_1062649;PLEOSDRAFT_1091873;PLEOSDRAFT_174437;PLEOSDRAFT_1035349;PLEOSDRAFT_1046423;PLEOSDRAFT_38169;PLEOSDRAFT_1047343;PLEOSDRAFT_1088565;PLEOSDRAFT_1088526;PLEOSDRAFT_1094340;PLEOSDRAFT_30007;PLEOSDRAFT_1038306;PLEOSDRAFT_1112279;PLEOSDRAFT_1090158;PLEOSDRAFT_1089553;PLEOSDRAFT_1112402;PLEOSDRAFT_1031760;PLEOSDRAFT_1016358;PLEOSDRAFT_35466;PLEOSDRAFT_1054928;PLEOSDRAFT_1114640;PLEOSDRAFT_1090764;PLEOSDRAFT_1078518;PLEOSDRAFT_1058188;PLEOSDRAFT_22057;PLEOSDRAFT_1090707;PLEOSDRAFT_24082;PLEOSDRAFT_1094019;PLEOSDRAFT_1064655;PLEOSDRAFT_1079389;PLEOSDRAFT_1065076;PLEOSDRAFT_1058604;PLEOSDRAFT_1092880;PLEOSDRAFT_1061513;PLEOSDRAFT_1110373
GO:0005319	e	lipid transporter activity	11/1193	52/12296	0.0149	1	molecular_function	PLEOSDRAFT_1114155;PLEOSDRAFT_1088772;PLEOSDRAFT_35466;PLEOSDRAFT_1089417;PLEOSDRAFT_1090291;PLEOSDRAFT_1088347;PLEOSDRAFT_1056164;PLEOSDRAFT_1088381;PLEOSDRAFT_155121;PLEOSDRAFT_35454;PLEOSDRAFT_1062463
GO:0005880	e	nuclear microtubule	5/1193	16/12296	0.015	1	cellular_component	PLEOSDRAFT_1091050;PLEOSDRAFT_1075925;PLEOSDRAFT_1064256;PLEOSDRAFT_1096263;PLEOSDRAFT_1066547
GO:0006098	e	pentose-phosphate shunt	5/1193	16/12296	0.015	1	biological_process	PLEOSDRAFT_1095873;PLEOSDRAFT_172379;PLEOSDRAFT_1036484;PLEOSDRAFT_1088946;PLEOSDRAFT_1064869
GO:0048211	e	Golgi vesicle docking	5/1193	16/12296	0.015	1	biological_process	PLEOSDRAFT_1038306;PLEOSDRAFT_1112402;PLEOSDRAFT_1090764;PLEOSDRAFT_1078518;PLEOSDRAFT_1079389
GO:1901678	e	iron coordination entity transport	5/1193	16/12296	0.015	1	biological_process	PLEOSDRAFT_1050010;PLEOSDRAFT_1090672;PLEOSDRAFT_1038983;PLEOSDRAFT_1062827;PLEOSDRAFT_1090663
GO:0051294	e	establishment of spindle orientation	7/1193	28/12296	0.0152	1	biological_process	PLEOSDRAFT_1110657;PLEOSDRAFT_1075925;PLEOSDRAFT_1113999;PLEOSDRAFT_1073892;PLEOSDRAFT_1066597;PLEOSDRAFT_1114037;PLEOSDRAFT_1061348
GO:0070302	e	regulation of stress-activated protein kinase signaling cascade	7/1193	28/12296	0.0152	1	biological_process	PLEOSDRAFT_1095875;PLEOSDRAFT_1075361;PLEOSDRAFT_1113512;PLEOSDRAFT_1054035;PLEOSDRAFT_1090672;PLEOSDRAFT_1090663;PLEOSDRAFT_1090244
GO:0000132	e	establishment of mitotic spindle orientation	7/1193	28/12296	0.0152	1	biological_process	PLEOSDRAFT_1110657;PLEOSDRAFT_1075925;PLEOSDRAFT_1113999;PLEOSDRAFT_1073892;PLEOSDRAFT_1066597;PLEOSDRAFT_1114037;PLEOSDRAFT_1061348
GO:0032872	e	regulation of stress-activated MAPK cascade	7/1193	28/12296	0.0152	1	biological_process	PLEOSDRAFT_1095875;PLEOSDRAFT_1075361;PLEOSDRAFT_1113512;PLEOSDRAFT_1054035;PLEOSDRAFT_1090672;PLEOSDRAFT_1090663;PLEOSDRAFT_1090244
GO:0009986	e	cell surface	21/1193	128/12296	0.0154	1	cellular_component	PLEOSDRAFT_166368;PLEOSDRAFT_1070256;PLEOSDRAFT_1090849;PLEOSDRAFT_1087719;PLEOSDRAFT_1052040;PLEOSDRAFT_1088565;PLEOSDRAFT_60667;PLEOSDRAFT_42791;PLEOSDRAFT_1088686;PLEOSDRAFT_29106;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_1101247;PLEOSDRAFT_1060369;PLEOSDRAFT_1052034;PLEOSDRAFT_1064157;PLEOSDRAFT_1088861;PLEOSDRAFT_166613;PLEOSDRAFT_60644;PLEOSDRAFT_1093096;PLEOSDRAFT_1056178
GO:0009607	e	response to biotic stimulus	28/1193	182/12296	0.0156	1	biological_process	PLEOSDRAFT_1090402;PLEOSDRAFT_1110657;PLEOSDRAFT_173562;PLEOSDRAFT_1090849;PLEOSDRAFT_1087719;PLEOSDRAFT_1050244;PLEOSDRAFT_1075708;PLEOSDRAFT_1063222;PLEOSDRAFT_1087686;PLEOSDRAFT_1079019;PLEOSDRAFT_1102839;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_33270;PLEOSDRAFT_1050001;PLEOSDRAFT_1097623;PLEOSDRAFT_1073892;PLEOSDRAFT_1064157;PLEOSDRAFT_1062678;PLEOSDRAFT_1065257;PLEOSDRAFT_1096996;PLEOSDRAFT_34426;PLEOSDRAFT_61029;PLEOSDRAFT_1088861;PLEOSDRAFT_1110336;PLEOSDRAFT_166613;PLEOSDRAFT_1093096;PLEOSDRAFT_1060769
GO:0019216	e	regulation of lipid metabolic process	17/1193	98/12296	0.0156	1	biological_process	PLEOSDRAFT_1068853;PLEOSDRAFT_1062548;PLEOSDRAFT_1111581;PLEOSDRAFT_1101880;PLEOSDRAFT_1114155;PLEOSDRAFT_1079019;PLEOSDRAFT_33270;PLEOSDRAFT_1043056;PLEOSDRAFT_1088772;PLEOSDRAFT_1097739;PLEOSDRAFT_1088347;PLEOSDRAFT_33522;PLEOSDRAFT_1068280;PLEOSDRAFT_1088381;PLEOSDRAFT_156657;PLEOSDRAFT_155121;PLEOSDRAFT_1062463
GO:1900436	e	positive regulation of filamentous growth of a population of unicellular organisms in response to starvation	6/1193	22/12296	0.0158	1	biological_process	PLEOSDRAFT_1050244;PLEOSDRAFT_1087686;PLEOSDRAFT_1079019;PLEOSDRAFT_1089553;PLEOSDRAFT_33270;PLEOSDRAFT_34426
GO:0048278	e	vesicle docking	11/1193	53/12296	0.016	1	biological_process	PLEOSDRAFT_1087989;PLEOSDRAFT_1037150;PLEOSDRAFT_1038306;PLEOSDRAFT_1112402;PLEOSDRAFT_1062660;PLEOSDRAFT_1090764;PLEOSDRAFT_1078518;PLEOSDRAFT_1090707;PLEOSDRAFT_1094019;PLEOSDRAFT_1079389;PLEOSDRAFT_1066597
GO:0005774	e	vacuolar membrane	47/1193	345/12296	0.0162	1	cellular_component	PLEOSDRAFT_1087983;PLEOSDRAFT_1070256;PLEOSDRAFT_1093620;PLEOSDRAFT_1058633;PLEOSDRAFT_1035349;PLEOSDRAFT_1087719;PLEOSDRAFT_1037150;PLEOSDRAFT_33932;PLEOSDRAFT_1111031;PLEOSDRAFT_1089460;PLEOSDRAFT_1090211;PLEOSDRAFT_1049732;PLEOSDRAFT_1037970;PLEOSDRAFT_1112279;PLEOSDRAFT_1050380;PLEOSDRAFT_1090158;PLEOSDRAFT_1094463;PLEOSDRAFT_1061285;PLEOSDRAFT_1091920;PLEOSDRAFT_1108883;PLEOSDRAFT_1089076;PLEOSDRAFT_1038983;PLEOSDRAFT_1098438;PLEOSDRAFT_24093;PLEOSDRAFT_1065490;PLEOSDRAFT_1060454;PLEOSDRAFT_1063998;PLEOSDRAFT_1095758;PLEOSDRAFT_174947;PLEOSDRAFT_1065757;PLEOSDRAFT_1090707;PLEOSDRAFT_1093339;PLEOSDRAFT_1094019;PLEOSDRAFT_1056060;PLEOSDRAFT_1064655;PLEOSDRAFT_1113907;PLEOSDRAFT_1094816;PLEOSDRAFT_1062486;PLEOSDRAFT_1110788;PLEOSDRAFT_1042508;PLEOSDRAFT_166613;PLEOSDRAFT_1064105;PLEOSDRAFT_1089580;PLEOSDRAFT_1049340;PLEOSDRAFT_62392;PLEOSDRAFT_1092880;PLEOSDRAFT_164904
GO:0006405	e	RNA export from nucleus	28/1193	184/12296	0.0163	1	biological_process	PLEOSDRAFT_1098108;PLEOSDRAFT_1070466;PLEOSDRAFT_1039394;PLEOSDRAFT_60781;PLEOSDRAFT_1070256;PLEOSDRAFT_1089478;PLEOSDRAFT_1061152;PLEOSDRAFT_1098711;PLEOSDRAFT_161214;PLEOSDRAFT_1049482;PLEOSDRAFT_1063873;PLEOSDRAFT_33283;PLEOSDRAFT_1089494;PLEOSDRAFT_1057271;PLEOSDRAFT_155108;PLEOSDRAFT_28314;PLEOSDRAFT_1062741;PLEOSDRAFT_4300;PLEOSDRAFT_1053317;PLEOSDRAFT_27293;PLEOSDRAFT_1068846;PLEOSDRAFT_1058771;PLEOSDRAFT_1089113;PLEOSDRAFT_1092940;PLEOSDRAFT_1089208;PLEOSDRAFT_1047371;PLEOSDRAFT_155371;PLEOSDRAFT_1064969
