Chr	start	end	number
chr5	46900000	46999999	1
chr5	47300000	47399999	2
chr5	47400000	47499999	1
chr5	47700000	47799999	1
chr5	47800000	47899999	1
chr5	47900000	47999999	3
chr5	48000000	48099999	1
chr5	48100000	48199999	1
chr5	48500000	48599999	1
chr5	48700000	48799999	2
chr5	48800000	48899999	2
chr5	49100000	49199999	1
chr6	100000	199999	2
chr6	200000	299999	5
chr6	300000	399999	1
chr6	400000	499999	2
chr6	1000000	1099999	1
chr6	1100000	1199999	1
chr6	1300000	1399999	2
chr6	1400000	1499999	1
chr6	1800000	1899999	4
chr6	1900000	1999999	1
chr6	2000000	2099999	1
chr6	2200000	2299999	3
chr6	2600000	2699999	1
chr6	2900000	2999999	1
chr6	3100000	3199999	2
chr6	3200000	3299999	1
chr6	3300000	3399999	1
chr6	3400000	3499999	1
chr6	4000000	4099999	1
chr6	4100000	4199999	3
chr6	4200000	4299999	1
chr6	4400000	4499999	1
chr6	4500000	4599999	2
chr6	4800000	4899999	1
chr6	4900000	4999999	1
chr6	5000000	5099999	1
chr6	5400000	5499999	1
chr6	5700000	5799999	1
chr6	5800000	5899999	2
chr6	6100000	6199999	1
chr6	6200000	6299999	1
chr6	6300000	6399999	2
chr6	6400000	6499999	1
chr6	6500000	6599999	2
chr6	6600000	6699999	3
chr6	6700000	6799999	1
chr6	7200000	7299999	1
chr6	7400000	7499999	1
chr6	7700000	7799999	3
chr6	7900000	7999999	2
chr6	8100000	8199999	2
chr6	8300000	8399999	2
chr6	8500000	8599999	2
chr6	8600000	8699999	2
chr6	8800000	8899999	1
chr6	9000000	9099999	2
chr6	9200000	9299999	1
chr6	9300000	9399999	2
chr6	9500000	9599999	1
chr6	9700000	9799999	1
chr6	9800000	9899999	1
chr6	9900000	9999999	2
chr6	10100000	10199999	1
chr6	10200000	10299999	1
chr6	11100000	11199999	1
chr6	11200000	11299999	2
chr6	11300000	11399999	1
chr6	11500000	11599999	1
chr6	11700000	11799999	3
chr6	11800000	11899999	1
chr6	11900000	11999999	2
chr6	12000000	12099999	2
chr6	12200000	12299999	1
chr6	12300000	12399999	4
chr6	12600000	12699999	3
chr6	12700000	12799999	2
chr6	12900000	12999999	2
chr6	13000000	13099999	2
chr6	13100000	13199999	1
chr6	13200000	13299999	1
chr6	13300000	13399999	1
chr6	13400000	13499999	1
chr6	13600000	13699999	2
chr6	13900000	13999999	1
chr6	14100000	14199999	2
chr6	14200000	14299999	2
chr6	14300000	14399999	1
chr6	14500000	14599999	1
chr6	14700000	14799999	1
chr6	14800000	14899999	1
chr6	14900000	14999999	1
chr6	15000000	15099999	1
chr6	15300000	15399999	1
chr6	15700000	15799999	1
chr6	15800000	15899999	1
chr6	16500000	16599999	1
chr6	16600000	16699999	2
chr6	16700000	16799999	1
chr6	16800000	16899999	1
chr6	16900000	16999999	1
chr6	17000000	17099999	3
chr6	17100000	17199999	1
chr6	17300000	17399999	2
chr6	17400000	17499999	1
chr6	17600000	17699999	4
chr6	17700000	17799999	1
chr6	17800000	17899999	2
chr6	17900000	17999999	1
chr6	18100000	18199999	1
chr6	18200000	18299999	2
chr6	18500000	18599999	1
chr6	19100000	19199999	1
chr6	19200000	19299999	1
chr6	19400000	19499999	2
chr6	19500000	19599999	1
chr6	19600000	19699999	1
chr6	19700000	19799999	1
chr6	19900000	19999999	1
chr6	20000000	20099999	2
chr6	20100000	20199999	1
chr6	20200000	20299999	1
chr6	20300000	20399999	1
chr6	20600000	20699999	2
chr6	20700000	20799999	2
chr6	20800000	20899999	1
chr6	21000000	21099999	2
chr6	21100000	21199999	1
chr6	21300000	21399999	1
chr6	21900000	21999999	1
chr6	22400000	22499999	1
chr6	22500000	22599999	1
chr6	22600000	22699999	1
chr6	22900000	22999999	1
chr6	23100000	23199999	1
chr6	23300000	23399999	1
chr6	23400000	23499999	1
chr7	0	99999	1
chr7	200000	299999	1
chr7	300000	399999	2
chr7	400000	499999	1
chr7	500000	599999	1
chr7	1300000	1399999	1
chr7	1400000	1499999	1
chr7	1500000	1599999	1
chr7	1800000	1899999	1
chr7	1900000	1999999	1
chr7	2100000	2199999	1
chr7	3000000	3099999	2
chr7	3200000	3299999	2
chr7	3300000	3399999	1
chr7	3600000	3699999	2
chr7	3700000	3799999	1
chr7	3800000	3899999	1
chr7	4100000	4199999	1
chr7	4400000	4499999	1
chr7	4700000	4799999	2
chr7	4800000	4899999	1
chr7	5100000	5199999	4
chr7	5200000	5299999	5
chr7	5300000	5399999	1
chr7	5400000	5499999	1
chr7	5600000	5699999	2
chr7	5700000	5799999	2
chr7	5800000	5899999	1
chr7	6400000	6499999	1
chr7	6600000	6699999	2
chr7	6700000	6799999	2
chr7	6900000	6999999	2
chr7	7400000	7499999	2
chr7	7500000	7599999	1
chr7	7800000	7899999	1
chr7	7900000	7999999	2
chr7	8000000	8099999	3
chr7	8300000	8399999	1
chr7	8400000	8499999	2
chr7	8700000	8799999	1
chr7	9200000	9299999	1
chr7	9400000	9499999	1
chr7	9500000	9599999	1
chr7	9800000	9899999	1
chr7	9900000	9999999	1
chr7	10100000	10199999	1
chr7	10200000	10299999	1
chr7	10500000	10599999	1
chr7	10700000	10799999	1
chr7	10800000	10899999	1
chr7	11000000	11099999	1
chr7	11200000	11299999	1
chr7	11300000	11399999	1
chr7	11400000	11499999	1
chr7	11600000	11699999	1
chr7	12000000	12099999	1
chr7	12100000	12199999	1
chr7	12600000	12699999	3
chr7	12700000	12799999	2
chr7	12800000	12899999	1
chr7	13100000	13199999	1
chr7	13400000	13499999	2
chr7	13500000	13599999	1
chr7	13600000	13699999	3
chr7	13700000	13799999	2
chr7	13800000	13899999	1
chr7	13900000	13999999	1
chr7	14300000	14399999	1
chr7	14600000	14699999	2
chr7	14700000	14799999	1
chr7	14800000	14899999	1
chr7	14900000	14999999	1
chr7	15200000	15299999	1
chr7	15500000	15599999	1
chr7	16000000	16099999	1
chr7	16100000	16199999	1
chr7	16200000	16299999	3
chr7	16300000	16399999	1
chr7	16400000	16499999	2
chr7	16500000	16599999	1
chr7	16600000	16699999	1
chr7	16700000	16799999	1
chr7	16800000	16899999	1
chr7	17000000	17099999	1
chr7	17300000	17399999	1
chr7	17800000	17899999	3
chr7	18000000	18099999	1
chr7	18200000	18299999	1
chr7	18600000	18699999	2
chr7	18800000	18899999	1
chr7	19200000	19299999	1
chr7	19400000	19499999	1
chr7	19500000	19599999	2
chr7	19600000	19699999	1
chr7	20000000	20099999	1
chr7	20100000	20199999	1
chr7	20800000	20899999	1
chr7	21000000	21099999	1
chr7	21100000	21199999	1
chr7	21200000	21299999	2
chr7	21300000	21399999	1
chr7	21500000	21599999	1
chr7	22000000	22099999	1
chr8	500000	599999	1
chr8	800000	899999	1
chr8	900000	999999	1
chr8	1000000	1099999	1
chr8	1100000	1199999	1
chr8	1200000	1299999	2
chr8	1400000	1499999	2
chr8	1700000	1799999	2
chr8	2000000	2099999	1
chr8	2100000	2199999	5
chr8	2300000	2399999	1
chr8	2400000	2499999	4
chr8	2600000	2699999	1
chr8	2800000	2899999	3
chr8	3000000	3099999	1
chr8	3200000	3299999	1
chr8	3300000	3399999	1
chr8	3500000	3599999	2
chr8	3600000	3699999	1
chr8	3700000	3799999	4
chr8	4000000	4099999	1
chr8	4100000	4199999	1
chr8	4400000	4499999	1
chr8	4600000	4699999	3
chr8	4700000	4799999	1
chr8	4800000	4899999	2
chr8	5100000	5199999	1
chr8	5200000	5299999	2
chr8	5600000	5699999	1
chr8	5800000	5899999	1
chr8	6000000	6099999	2
chr8	6100000	6199999	1
chr8	6400000	6499999	1
chr8	6500000	6599999	3
chr8	6700000	6799999	2
chr8	6900000	6999999	1
chr8	7000000	7099999	1
chr8	7200000	7299999	1
chr8	7300000	7399999	2
chr8	7500000	7599999	3
chr8	7700000	7799999	3
chr8	7900000	7999999	1
chr8	8200000	8299999	1
chr8	8600000	8699999	1
chr8	8900000	8999999	1
chr8	9400000	9499999	2
chr8	9800000	9899999	1
chr8	9900000	9999999	1
chr8	10000000	10099999	2
chr8	10100000	10199999	1
chr8	10300000	10399999	2
chr8	10800000	10899999	1
chr8	11100000	11199999	2
chr8	11600000	11699999	2
chr8	11800000	11899999	1
chr8	12100000	12199999	3
chr8	12700000	12799999	1
chr8	12900000	12999999	1
chr8	13000000	13099999	1
chr8	13200000	13299999	1
chr8	13400000	13499999	1
chr8	13500000	13599999	2
chr8	13900000	13999999	1
chr8	14300000	14399999	2
chr8	14500000	14599999	1
chr8	14700000	14799999	1
chr8	14800000	14899999	2
chr8	15000000	15099999	1
chr8	15100000	15199999	2
chr8	15600000	15699999	1
chr8	15800000	15899999	2
chr8	15900000	15999999	2
chr8	16000000	16099999	1
chr8	16200000	16299999	2
chr8	16500000	16599999	1
chr8	16600000	16699999	1
chr8	16700000	16799999	2
chr8	16800000	16899999	1
chr8	16900000	16999999	1
chr8	17300000	17399999	2
chr8	17500000	17599999	2
chr8	17900000	17999999	2
chr8	18000000	18099999	1
chr8	18100000	18199999	1
chr8	18200000	18299999	1
chr8	18400000	18499999	1
chr8	18500000	18599999	1
chr8	18600000	18699999	2
chr8	18700000	18799999	1
chr8	19000000	19099999	2
chr8	19100000	19199999	2
chr8	19200000	19299999	3
chr8	19400000	19499999	1
chr8	19500000	19599999	2
chr8	19600000	19699999	1
chr8	19700000	19799999	1
chr8	19800000	19899999	2
chr8	19900000	19999999	2
chr8	20000000	20099999	1
chr8	20100000	20199999	1
chr8	20500000	20599999	1
chr8	20700000	20799999	1
chr8	20800000	20899999	1
chr9	300000	399999	1
chr9	500000	599999	1
chr9	800000	899999	2
chr9	900000	999999	1
chr9	1200000	1299999	3
chr9	1300000	1399999	1
chr9	2100000	2199999	1
chr9	2600000	2699999	1
chr9	2700000	2799999	1
chr9	3100000	3199999	1
chr9	3400000	3499999	2
chr9	3800000	3899999	1
chr9	3900000	3999999	2
chr9	4200000	4299999	1
chr9	4600000	4699999	2
chr9	4700000	4799999	1
chr9	4800000	4899999	2
chr9	4900000	4999999	3
chr9	5000000	5099999	4
chr9	5100000	5199999	1
chr9	5400000	5499999	1
chr9	5500000	5599999	1
chr9	5600000	5699999	3
chr9	5700000	5799999	1
chr9	6400000	6499999	1
chr9	6600000	6699999	2
chr9	6700000	6799999	1
chr9	6800000	6899999	1
chr9	6900000	6999999	1
chr9	7000000	7099999	1
chr9	7200000	7299999	1
chr9	7600000	7699999	2
chr9	7700000	7799999	1
chr9	8000000	8099999	1
chr9	8200000	8299999	2
chr9	8300000	8399999	1
chr9	8500000	8599999	1
chr9	8600000	8699999	1
chr9	8700000	8799999	1
chr9	8900000	8999999	1
chr9	9100000	9199999	1
chr9	9400000	9499999	1
chr9	9500000	9599999	3
chr9	9600000	9699999	1
chr9	9700000	9799999	2
chr9	10100000	10199999	1
chr9	10200000	10299999	2
chr9	10300000	10399999	2
chr9	10400000	10499999	1
chr9	10500000	10599999	2
chr9	10600000	10699999	1
chr9	10800000	10899999	1
chr9	11000000	11099999	1
chr9	11100000	11199999	1
chr9	11300000	11399999	2
chr9	11500000	11599999	1
chr9	11600000	11699999	1
chr9	12000000	12099999	1
chr9	12100000	12199999	1
chr9	12200000	12299999	1
chr9	12300000	12399999	1
chr9	12500000	12599999	1
chr9	12600000	12699999	1
chr9	12700000	12799999	2
chr9	13000000	13099999	2
chr9	13100000	13199999	1
chr9	13300000	13399999	2
chr9	13400000	13499999	1
chr9	13900000	13999999	1
chr9	14000000	14099999	1
chr9	14200000	14299999	1
chr9	14300000	14399999	4
chr9	14600000	14699999	1
chr9	14800000	14899999	1
chr9	14900000	14999999	1
chr9	15000000	15099999	1
chr9	15100000	15199999	1
chr9	15200000	15299999	2
chr9	15300000	15399999	1
chr9	15400000	15499999	3
chr9	15600000	15699999	3
chr9	15700000	15799999	1
chr9	15800000	15899999	1
chr9	15900000	15999999	1
chr9	16000000	16099999	1
chr9	16100000	16199999	3
chr9	16200000	16299999	2
chr9	16300000	16399999	1
chr9	16800000	16899999	1
chr9	17100000	17199999	2
chr9	18900000	18999999	1
chr9	19900000	19999999	2
chr9	20000000	20099999	1
chr9	20100000	20199999	1
chr9	20200000	20299999	1
chr9	20400000	20499999	1
chr9	20500000	20599999	2
chr9	20600000	20699999	2
chr9	20700000	20799999	1
chr9	20900000	20999999	1
chr9	21300000	21399999	2
chr9	21400000	21499999	1
chr9	21600000	21699999	1
chr9	21700000	21799999	2
chr9	21900000	21999999	1
chr9	22000000	22099999	1
chr9	22200000	22299999	2
chr9	22400000	22499999	3
chr9	22500000	22599999	1
chr9	22600000	22699999	1
chr9	22700000	22799999	2
chr9	22800000	22899999	1
chr9	23100000	23199999	1
chr9	23200000	23299999	1
chr9	23400000	23499999	1
chr9	23500000	23599999	2
chr9	23600000	23699999	1
chr9	23800000	23899999	1
chr9	23900000	23999999	3
chr9	24200000	24299999	1
chr9	24500000	24599999	1
chr9	24700000	24799999	3
chr9	24800000	24899999	1
chr9	24900000	24999999	1
chr9	25500000	25599999	2
chr9	25700000	25799999	1
chr9	25800000	25899999	3
chr9	26400000	26499999	2
chr9	26500000	26599999	3
chr9	26600000	26699999	2
chr9	26700000	26799999	1
chr9	27000000	27099999	1
chr9	27100000	27199999	1
chr9	27600000	27699999	1
chr9	27800000	27899999	3
chr9	28200000	28299999	1
chr9	28500000	28599999	2
chr9	28700000	28799999	1
chr9	28800000	28899999	1
chr9	29000000	29099999	1
chr9	29300000	29399999	1
chr9	29700000	29799999	1
chr9	29800000	29899999	1
chr9	29900000	29999999	2
chr9	30100000	30199999	1
chr9	30200000	30299999	1
chr9	30300000	30399999	2
chr9	30500000	30599999	1
chr9	30700000	30799999	1
chr9	30900000	30999999	1
chr9	31000000	31099999	1
chr9	31100000	31199999	2
chr9	31200000	31299999	2
chr9	31300000	31399999	1
chr9	31400000	31499999	1
chr9	31500000	31599999	2
chr9	31700000	31799999	1
chr9	32000000	32099999	1
chr9	32300000	32399999	1
chr9	32400000	32499999	1
chr9	32500000	32599999	1
chr9	32600000	32699999	3
chr9	32700000	32799999	2
chr9	32800000	32899999	1
chr9	32900000	32999999	1
chr9	33000000	33099999	2
chr9	33100000	33199999	1
chr9	33200000	33299999	2
chr9	33400000	33499999	1
chr9	33500000	33599999	1
chr9	33600000	33699999	1
chr9	33700000	33799999	1
chr9	34400000	34499999	1
chr9	34500000	34599999	1
chr9	34600000	34699999	1
chr9	34700000	34799999	1
chr9	34800000	34899999	3
chr9	34900000	34999999	1
chr9	35000000	35099999	3
chr9	35100000	35199999	1
chr9	35200000	35299999	1
chr9	35800000	35899999	1
chr9	36000000	36099999	1
chr9	36100000	36199999	2
chr9	36200000	36299999	1
chr9	36400000	36499999	1
chr9	36800000	36899999	1
chr9	37000000	37099999	2
chr9	37100000	37199999	1
chr9	37200000	37299999	2
chr9	37400000	37499999	2
chr9	37600000	37699999	1
chr9	37700000	37799999	1
chr9	37900000	37999999	2
chr9	38100000	38199999	1
chr9	38400000	38499999	2
chr9	38900000	38999999	1
chr9	39200000	39299999	1
chr9	39300000	39399999	1
chr9	39400000	39499999	2
chr9	39800000	39899999	2
chr9	39900000	39999999	1
chrUn	400000	499999	3
chrUn	800000	899999	1
chrUn	900000	999999	2
chrUn	1100000	1199999	2
chrUn	1200000	1299999	2
chrUn	1600000	1699999	1
chrUn	1700000	1799999	1
chrUn	1800000	1899999	2
chrUn	2400000	2499999	1
chrUn	3300000	3399999	2
chrUn	3400000	3499999	3
chrUn	3500000	3599999	1
chrUn	4300000	4399999	1
chrUn	4400000	4499999	2
chrUn	5000000	5099999	2
chrUn	5100000	5199999	1
chrUn	5700000	5799999	1
chrUn	5800000	5899999	1
chrUn	6000000	6099999	1
chrUn	6400000	6499999	1
chrUn	7600000	7699999	1
chrUn	7700000	7799999	1
chrUn	8200000	8299999	1
chrUn	8400000	8499999	2
chrUn	8800000	8899999	1
chrUn	8900000	8999999	1
chrUn	9000000	9099999	1
chrUn	9200000	9299999	1
chrUn	9300000	9399999	2
chrUn	9400000	9499999	1
chrUn	9700000	9799999	1
chrUn	9800000	9899999	2
chrUn	10000000	10099999	1
chrUn	10200000	10299999	1
chrUn	10600000	10699999	1
chrUn	10900000	10999999	1
chrUn	11100000	11199999	1
chrUn	11200000	11299999	3
chrUn	11300000	11399999	2
chrUn	11600000	11699999	1
chrUn	11800000	11899999	2
chrUn	11900000	11999999	1
chrUn	12000000	12099999	1
chrUn	12100000	12199999	2
chrUn	12300000	12399999	1
chrUn	12400000	12499999	1
chrUn	12600000	12699999	2
chrUn	12800000	12899999	1
chrUn	13200000	13299999	1
chrUn	13600000	13699999	1
chrUn	14000000	14099999	1
chrUn	14100000	14199999	1
chrUn	14400000	14499999	1
chrUn	14500000	14599999	1
chrUn	14900000	14999999	1
chrUn	15000000	15099999	1
chrUn	15100000	15199999	2
chrUn	15500000	15599999	1
chrUn	16700000	16799999	1
chrUn	16800000	16899999	2
chrUn	17100000	17199999	2
chrUn	17300000	17399999	1
chrUn	17400000	17499999	2
chrUn	17500000	17599999	2
chrUn	17600000	17699999	1
chrUn	17700000	17799999	1
chrUn	17800000	17899999	1
chrUn	18200000	18299999	1
chrUn	18400000	18499999	1
chrUn	18500000	18599999	1
chrUn	18700000	18799999	1
chrUn	19400000	19499999	2
chrUn	19500000	19599999	1
chrUn	19600000	19699999	1
chrUn	19800000	19899999	1
chrUn	20000000	20099999	1
chrUn	20400000	20499999	1
chrUn	20700000	20799999	1
chrUn	20800000	20899999	1
chrUn	21300000	21399999	1
chrUn	21400000	21499999	1
chrUn	22300000	22399999	1
chrUn	23400000	23499999	1
chrUn	23900000	23999999	1
chrUn	25000000	25099999	1
chrUn	26700000	26799999	1
chrUn	27000000	27099999	1
chrUn	28000000	28099999	1
chrUn	28200000	28299999	1
chrUn	28600000	28699999	1
chrUn	30100000	30199999	1
chrUn	30700000	30799999	1
chrUn	30800000	30899999	1
chrUn	31200000	31299999	2
chrUn	33100000	33199999	1
chrUn	34500000	34599999	1
chrUn	34900000	34999999	1
chrUn	39600000	39699999	1
chrUn	42700000	42799999	1
